siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
038816187,00017,03881618700017,O,1995-12-25,01,2023,,2026-05-13T16:06:41.258,true,A,O,,1995-12-25,9110,SYND.COPR. DU 30 RUE DE LA VOIE DES PRES,,,,,,,,,,,81.10Z,NAFRev2,,N,,01,2023,00017,2026-05-13T16:53:07.051,PME,2023,,30,,,RUE,DE LA VOIE DES PRES,93420,VILLEPINTE,,93078,,,930781400_B,666016.6265933454,6873474.623597903,A,,,,,81.10Z,NAFRev2,O,94.99Y
038846622,00017,03884662200017,O,1997-12-25,NN,,,2026-05-13T16:01:19.647,true,A,O,,1997-12-25,9110,SYND DE COPROPRIETE RES DE PRESLES,,,,,,,,,,,81.10Z,NAFRev2,,,,NN,,00017,2026-05-13T16:53:07.142,,,BORIE ANDRE,,,,AVENUE,PAUL VAILLANT COUTURIER,93420,VILLEPINTE,,93078,,,930781060_B,665835.0080311989,6873224.921155702,A,,,,,81.10Z,NAFRev2,N,94.99Y
038847034,00014,03884703400014,O,1995-12-25,NN,,,2026-05-13T16:15:13.444,true,A,O,,1995-12-25,9110,SYND.COPR. 6 ALLEE URBAIN       VERRIER,,,,,,,,,,,81.10Z,NAFRev2,,,,NN,,00014,2026-05-13T16:50:20.66,PME,2023,93VILLEPINTE REP PAR,6,,,ALLEE,URBAIN LE VERRIER,93420,VILLEPINTE,,93078,,,930781365_B,666239.6926611289,6873827.624454679,A,,,,,81.10Z,NAFRev2,O,94.99Y
038847190,00014,03884719000014,O,1995-12-25,NN,,,2026-05-13T16:15:13.548,true,A,O,,1995-12-25,9110,SYND COPRO DU 3 SQUARE BABINET,,,,,,,,,,,81.10Z,NAFRev2,,,,NN,,00014,2026-05-13T16:51:46.329,,,,3,,,SQUARE,JACQUES BABINET,93420,VILLEPINTE,,93078,,,930780716_B,666279.6206210059,6873944.159711567,A,,,,,81.10Z,NAFRev2,N,94.99Y
039173984,00012,03917398400012,O,1995-12-25,01,2023,,2026-05-13T16:18:36.108,true,A,O,,1995-12-25,9110,SYND COPROP DU 1 RUE DU BON AVENIR,,,,,,,,,,,81.10Z,NAFRev2,,N,,01,2023,00012,2026-05-13T16:54:27.224,PME,2023,,1,,,AVENUE,DU BON AVENIR,93420,VILLEPINTE,,93078,,,930780200_B,667983.1922965754,6871994.249393347,A,,,,,81.10Z,NAFRev2,O,94.99Y
039347240,00010,03934724000010,O,1995-12-25,01,2023,,2026-05-13T16:02:49.263,true,A,O,,1995-12-25,9110,SYND COPR DU 4 A 12 AV. PABLO PICASSO 93,,,,,,,,,,,81.10Z,NAFRev2,,,,01,2023,00010,2026-05-13T16:52:27.237,PME,2023,4-12,4,,,AVENUE,PABLO PICASSO,93420,VILLEPINTE,,93078,,,930781008_B,666918.1963035463,6873188.819121209,A,,,,,81.10Z,NAFRev2,O,94.99Y
043831940,00010,04383194000010,O,1995-12-25,NN,,,2026-05-13T16:28:37.924,true,A,O,,1995-12-25,9110,CHARTON                       JEAN,,,,,,,,,,,81.10Z,NAFRev2,,,,NN,,00010,2026-05-13T16:48:15.535,,,,29,,,AVENUE,DES AULNES,93420,VILLEPINTE,,93078,,,930780070_B,667347.5833144641,6872324.3041567225,A,,,,,81.10Z,NAFRev2,O,94.99Y
043919786,00012,04391978600012,O,1995-12-25,NN,,,2026-05-13T16:10:20.48,true,A,O,,1995-12-25,9110,SCI FASI,,,,,,,,,,,81.10Z,NAFRev2,,,,NN,,00012,2026-05-13T16:51:03.383,PME,2023,,,,,PARC,DE LA NOUE,93420,VILLEPINTE,,93078,,,930780975_B,666365.7437187068,6873216.24932193,A,,,,,81.10Z,NAFRev2,N,94.99Y
056800659,01823,05680065901823,O,2022-05-01,22,2023,,2025-12-05T17:16:36.504,false,A,O,,1954-01-01,5599,SNEF,,,,,,,,,,,43.21A,NAFRev2,,N,N,51,2023,00155,2026-05-04T11:30:42.601,GE,2023,BATIMENT LE RABELAIS,22,,,AVENUE,DES NATIONS,93420,VILLEPINTE,,93078,,,930780962_B,664007.7140679733,6874941.719424644,A,,,,,43.21A,NAFRev2,N,43.21G
100002195,00012,10000219500012,P,2026-02-01,NN,,,2026-05-05T16:08:17.943,true,A,P,,2026-02-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],68.20A,NAFRev2,,,,NN,,00012,2026-05-05T16:08:17.924,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],68.20A,NAFRev2,N,68.20G
